,"Emissions quantity, tonnes","Total population, thousands",Population density,GDP per capita,WMG,clusters
2087,-0.45018115393181773,-0.5284173114756108,-0.09387859920417453,0.1590652705441337,1.2116778530925552,3
2088,-0.401991786986977,0.18151818614894194,-0.21991728229486215,1.904419781352166,1.2802393645927832,1
2089,1.461152487217425,0.18151818614894194,-0.21991728229486215,1.904419781352166,1.2802393645927832,1
2090,5.325451722604333,0.18151818614894194,-0.21991728229486215,1.904419781352166,1.2802393645927832,2
2091,-0.45799667626068824,-0.24348772723207365,-0.14621350845286654,-0.5018272854010909,-1.1287628349379493,0
2092,-0.10698441244648874,-0.24348772723207365,-0.14621350845286654,-0.5018272854010909,-1.1287628349379493,0
2093,-0.4699792063483175,-0.19734824228849496,0.05796909698655178,-0.716622221303359,-1.1287628349379493,0
2094,-0.44249525490010894,-0.19734824228849496,0.05796909698655178,-0.716622221303359,-1.1287628349379493,0
2095,-0.46527845560124564,-0.2075764837741604,0.010599765031932717,1.5297910007414288,1.9128751297994309,1
2096,-0.3108742339820963,-0.2075764837741604,0.010599765031932717,1.5297910007414288,1.9128751297994309,1
2097,0.009371559005769003,-0.2075764837741604,0.010599765031932717,1.5297910007414288,1.9128751297994309,1
2098,-0.4684618512815417,-0.18565882344773446,-0.1552662978039727,-0.6735564192813627,-0.9480097591646214,0
2099,-0.4000093130303855,-0.18565882344773446,-0.1552662978039727,-0.6735564192813627,-0.9480097591646214,0
2100,-0.25803367813909855,-0.18565882344773446,-0.1552662978039727,-0.6735564192813627,-0.9480097591646214,0
2101,-0.4657550118408109,0.057711504869156514,-0.17509557653263208,-0.6928801951604546,-0.8108867361641657,0
2102,-0.32421780868992406,0.057711504869156514,-0.17509557653263208,-0.6928801951604546,-0.8108867361641657,0
2103,-0.030659165117714163,0.057711504869156514,-0.17509557653263208,-0.6928801951604546,-0.8108867361641657,0
2104,-0.43516010126072024,4.119925049856033,0.5558321407502834,-0.6278687984214996,-0.972941217891977,4
2105,0.5324396875526157,4.119925049856033,0.5558321407502834,-0.6278687984214996,-0.972941217891977,4
2106,2.539313323609905,4.119925049856033,0.5558321407502834,-0.6278687984214996,-0.972941217891977,4
2107,-0.4460255835228085,-0.33284434240904087,-0.18213901365276636,-0.25595894105003175,1.4765746020707082,3
2108,0.22820618421414363,-0.33284434240904087,-0.18213901365276636,-0.25595894105003175,1.4765746020707082,3
2109,1.6266128135944888,-0.33284434240904087,-0.18213901365276636,-0.25595894105003175,1.4765746020707082,2
2110,-0.4669559335645154,-0.48902172201708616,0.9453149457325899,0.5256343858384656,0.7535622989773967,3
2111,-0.3578436169536499,-0.48902172201708616,0.9453149457325899,0.5256343858384656,0.7535622989773967,3
2112,-0.46916143584122355,-0.5196502473450404,-0.17575190376058727,0.8529247707654976,-1.1287628349379493,0
2113,-0.41959768070147657,-0.5196502473450404,-0.17575190376058727,0.8529247707654976,-1.1287628349379493,0
2114,-0.4673943653049155,-0.43658793462079026,-0.18178424217819597,-0.4385152156866791,-0.25927821182142363,0
2115,-0.3701197056848514,-0.43658793462079026,-0.18178424217819597,-0.4385152156866791,-0.25927821182142363,0
2116,-0.16836485610249624,-0.43658793462079026,-0.18178424217819597,-0.4385152156866791,-0.25927821182142363,0
2117,-0.4401162861521991,-0.2591953837993456,-0.1927742061154476,-0.40710194183297943,1.286472229274622,3
2118,0.3936665105912074,-0.2591953837993456,-0.1927742061154476,-0.40710194183297943,1.286472229274622,3
2119,2.12299379272568,-0.2591953837993456,-0.1927742061154476,-0.40710194183297943,1.286472229274622,2
2120,-0.46962655473103926,-0.5200717408128562,-0.21150246992302651,-0.4288533277471332,-0.5989693369816433,0
2121,-0.43262100961631644,-0.5200717408128562,-0.21150246992302651,-0.4288533277471332,-0.5989693369816433,0
2122,-0.35586876789689137,-0.5200717408128562,-0.21150246992302651,-0.4288533277471332,-0.5989693369816433,0
2126,-0.4689574697706896,-0.20007390004703768,-0.21528629120180642,-0.5617892532671174,-0.15955237691200122,0
2127,-0.4138866307265263,-0.20007390004703768,-0.21528629120180642,-0.5617892532671174,-0.15955237691200122,0
2128,-0.29966563122752105,-0.20007390004703768,-0.21528629120180642,-0.5617892532671174,-0.15955237691200122,0
2129,-0.06687743932467512,5.419979501987344,-0.20643718961110016,-0.2990732952727293,0.9218496453870467,4
2130,-0.4702899210165141,-0.5231345933456516,0.1766187466068771,0.19222642362307787,0.9654796981599192,3
2131,-0.45119526560961265,-0.5231345933456516,0.1766187466068771,0.19222642362307787,0.9654796981599192,3
2132,-0.41159153587677993,-0.5231345933456516,0.1766187466068771,0.19222642362307787,0.9654796981599192,3
2133,-0.4703570201350449,-0.5186948621513243,-0.17545891145658865,0.762520573059796,0.19572090995281569,3
2134,-0.45307404092847475,-0.5186948621513243,-0.17545891145658865,0.762520573059796,0.19572090995281569,3
2135,-0.4172278618333664,-0.5186948621513243,-0.17545891145658865,0.762520573059796,0.19572090995281569,3
2136,-0.46890028302194176,-0.460781659673422,-0.21923832309352917,-0.40608234561825346,-1.106947808551513,0
2137,-0.412285401761587,-0.460781659673422,-0.21923832309352917,-0.40608234561825346,-1.106947808551513,0
2138,-0.46959414890674883,-0.3846318398213524,-0.21682159534175752,-0.7096792566030823,-1.1287628349379493,0
2139,-0.43171364653618416,-0.3846318398213524,-0.21682159534175752,-0.7096792566030823,-1.1287628349379493,0
2140,-0.3531466786564945,-0.3846318398213524,-0.21682159534175752,-0.7096792566030823,-1.1287628349379493,0
2141,-0.36767973773827717,0.5233493885476233,-0.21941265045603361,1.5229936926432557,1.5108553578208224,1
2142,2.421889866181021,0.5233493885476233,-0.21941265045603361,1.5229936926432557,1.5108553578208224,2
2143,-0.44040889168329217,0.003985137504891932,-0.20646960838377643,-0.019995245642024723,0.9187332130461274,3
2144,0.38547355572060116,0.003985137504891932,-0.20646960838377643,-0.019995245642024723,0.9187332130461274,3
2145,-0.45765355576820127,0.19346050107039198,-0.18809795107563634,-0.6556892094233078,-0.8108867361641657,0
2146,-0.09737703865685277,0.19346050107039198,-0.18809795107563634,-0.6556892094233078,-0.8108867361641657,0
2147,0.6498631449814997,0.19346050107039198,-0.18809795107563634,-0.6556892094233078,-0.8108867361641657,0
2148,-0.43668508122732913,1.995316976418772,-0.19767861591390495,-0.7048240365329587,-1.0196877030057687,4
2149,0.489740248487567,1.995316976418772,-0.19767861591390495,-0.7048240365329587,-1.0196877030057687,4
2150,2.411215006414759,1.995316976418772,-0.19767861591390495,-0.7048240365329587,-1.0196877030057687,2
2151,-0.4685571625294548,-0.37448789702925017,-0.2119581677653626,-0.6178670450770449,-1.1287628349379493,0
2152,-0.402678027971951,-0.37448789702925017,-0.2119581677653626,-0.6178670450770449,-1.1287628349379493,0
2153,-0.2660398229637952,-0.37448789702925017,-0.2119581677653626,-0.6178670450770449,-1.1287628349379493,0
2157,-0.36177044036766776,0.8792303732068341,-0.19461718275834508,-0.4177834259872514,1.9876695059814977,3
