,Country,Year,Gas type,"Emissions quantity, tonnes",Emissions per capita
3450,Saint Pierre and Miquelon,2017,ch4,179.0,35.8
3451,Saint Pierre and Miquelon,2017,co2e_100yr,5012.0,1002.4
3452,Saint Pierre and Miquelon,2017,co2e_20yr,15036.0,3007.2
3453,Saint Pierre and Miquelon,2018,ch4,179.0,35.8
3454,Saint Pierre and Miquelon,2018,co2e_100yr,5012.0,1002.4
3455,Saint Pierre and Miquelon,2018,co2e_20yr,15036.0,3007.2
3456,Saint Pierre and Miquelon,2019,ch4,179.0,35.8
3457,Saint Pierre and Miquelon,2019,co2e_100yr,5012.0,1002.4
3458,Saint Pierre and Miquelon,2019,co2e_20yr,15036.0,3007.2
3459,Saint Pierre and Miquelon,2020,ch4,179.0,35.8
3460,Saint Pierre and Miquelon,2020,co2e_100yr,5012.0,1002.4
3461,Saint Pierre and Miquelon,2020,co2e_20yr,15036.0,3007.2
3462,Saint Pierre and Miquelon,2021,ch4,179.0,35.8
3463,Saint Pierre and Miquelon,2021,co2e_100yr,5012.0,1002.4
3464,Saint Pierre and Miquelon,2021,co2e_20yr,15036.0,3007.2
4074,Trinidad and Tobago,2015,ch4,60600.0,41.50684931506849
4075,Trinidad and Tobago,2015,co2e_100yr,1696800.0,1162.1917808219177
4076,Trinidad and Tobago,2015,co2e_20yr,5090400.0,3486.5753424657532
4077,Trinidad and Tobago,2016,ch4,60100.0,40.91218515997277
4078,Trinidad and Tobago,2016,co2e_100yr,1682800.0,1145.5411844792375
4079,Trinidad and Tobago,2016,co2e_20yr,5048400.0,3436.623553437713
4080,Trinidad and Tobago,2017,ch4,59900.0,40.5277401894452
4081,Trinidad and Tobago,2017,co2e_100yr,1677200.0,1134.7767253044656
4082,Trinidad and Tobago,2017,co2e_20yr,5031600.0,3404.3301759133965
4083,Trinidad and Tobago,2018,ch4,60100.0,39.96010638297872
4084,Trinidad and Tobago,2018,co2e_100yr,1682800.0,1118.8829787234042
4085,Trinidad and Tobago,2018,co2e_20yr,5048400.0,3356.648936170213
4086,Trinidad and Tobago,2019,ch4,60100.0,39.56550362080316
4087,Trinidad and Tobago,2019,co2e_100yr,1682800.0,1107.8341013824884
4088,Trinidad and Tobago,2019,co2e_20yr,5048400.0,3323.5023041474656
4089,Trinidad and Tobago,2020,ch4,60100.0,39.591567852437414
4090,Trinidad and Tobago,2020,co2e_100yr,1682800.0,1108.5638998682477
4091,Trinidad and Tobago,2020,co2e_20yr,5048400.0,3325.691699604743
4092,Trinidad and Tobago,2021,ch4,60100.0,39.40983606557377
4093,Trinidad and Tobago,2021,co2e_100yr,1682800.0,1103.4754098360656
4094,Trinidad and Tobago,2021,co2e_20yr,5048400.0,3310.4262295081967
